gene,logp
TRINITY_DN10183_c0_g1,0.0485801760121698
TRINITY_DN10189_c0_g1,0
TRINITY_DN1019_c0_g1,0.483003962841502
TRINITY_DN10190_c0_g1,0
TRINITY_DN10196_c0_g1,0.6090800438557
TRINITY_DN10197_c0_g1,0
TRINITY_DN10198_c0_g1,0
TRINITY_DN101980_c0_g1,-0.950756577773544
TRINITY_DN10199_c0_g1,0
TRINITY_DN102_c0_g3,0
TRINITY_DN10200_c2_g1,-0.277021976233151
TRINITY_DN10201_c1_g1,0
TRINITY_DN10202_c0_g1,0
TRINITY_DN102023_c0_g1,-0.176312890178566
TRINITY_DN10203_c0_g1,0
TRINITY_DN102036_c0_g1,0
TRINITY_DN102046_c0_g1,0
TRINITY_DN10205_c0_g1,0.014118987615905
TRINITY_DN102056_c0_g1,0.203180334489644
TRINITY_DN10207_c0_g1,0
TRINITY_DN1021_c0_g1,0.155683760585552
TRINITY_DN102109_c0_g1,-1.11420822924282
TRINITY_DN10215_c0_g1,-0.319223646394151
TRINITY_DN10219_c0_g1,0.0330917330277758
TRINITY_DN10222_c0_g1,0
TRINITY_DN1023_c0_g1,0.182826187404764
TRINITY_DN10232_c0_g1,0.133840059948294
TRINITY_DN102325_c0_g1,0
TRINITY_DN102338_c0_g2,-0.690884339334367
TRINITY_DN10235_c0_g1,-0.854399329953831
TRINITY_DN10238_c0_g1,0
TRINITY_DN10243_c0_g1,0.00528689130720679
TRINITY_DN10247_c0_g1,0
TRINITY_DN10249_c0_g1,0
TRINITY_DN10256_c0_g1,-2.52319259965938
TRINITY_DN10257_c0_g1,0.319494790488143
TRINITY_DN10259_c0_g2,-0.0211223613118838
TRINITY_DN1026_c0_g1,0.305048535844483
TRINITY_DN102606_c0_g3,0
TRINITY_DN10261_c4_g1,0.268451239433222
TRINITY_DN102620_c0_g1,-0.0129194272909622
TRINITY_DN102630_c0_g1,0.0148464372365745
TRINITY_DN10264_c0_g1,0
TRINITY_DN10265_c0_g1,0.203266139544317
TRINITY_DN10265_c1_g1,0
TRINITY_DN102658_c0_g1,0
TRINITY_DN10266_c0_g1,-0.0877828052809589
TRINITY_DN10269_c0_g1,0
TRINITY_DN10272_c0_g1,-0.252760427343949
TRINITY_DN102723_c0_g1,0.370210383525635
TRINITY_DN10275_c0_g1,-1.75128463995118
TRINITY_DN102787_c0_g1,-0.167828393399929
TRINITY_DN10280_c0_g1,-0.02198883847893
TRINITY_DN102821_c0_g1,0.494100497220847
TRINITY_DN102828_c0_g1,-0.182457144340891
TRINITY_DN10283_c0_g1,-1.46740757121295
TRINITY_DN10284_c0_g1,0.365015739994305
TRINITY_DN10285_c0_g1,-0.225609950940566
TRINITY_DN10287_c0_g1,-0.0257297623952132
TRINITY_DN1029_c0_g1,0.132649228527462
TRINITY_DN102906_c0_g1,-0.208150140319241
TRINITY_DN10291_c0_g1,0
TRINITY_DN102924_c0_g1,0
TRINITY_DN10294_c0_g1,-0.0638453609899874
TRINITY_DN10296_c0_g1,-0.091360135951491
TRINITY_DN10297_c1_g1,-0.181264497681598
TRINITY_DN10298_c0_g1,-2.90317484067592
TRINITY_DN10299_c0_g2,-0.0388486599107789
TRINITY_DN102996_c0_g1,0
TRINITY_DN103_c0_g1,0.112008516277077
TRINITY_DN10300_c1_g1,0
TRINITY_DN103011_c0_g1,0
TRINITY_DN10305_c0_g1,0
TRINITY_DN10305_c1_g1,0
TRINITY_DN103059_c0_g1,0.133450087580153
TRINITY_DN10307_c0_g1,0
TRINITY_DN103077_c0_g1,-0.0387685441888185
TRINITY_DN103087_c0_g1,-0.109156992113103
TRINITY_DN10310_c0_g1,0
TRINITY_DN10312_c0_g1,-0.103982468380492
TRINITY_DN10316_c0_g1,-0.241525493859132
TRINITY_DN10316_c0_g2,0.0143353101491831
TRINITY_DN10316_c0_g3,-0.443923578334937
TRINITY_DN103223_c0_g1,-0.774166748849519
TRINITY_DN103228_c0_g1,0
TRINITY_DN103251_c0_g2,-0.478834024435253
TRINITY_DN103289_c0_g1,0.0110521974338455
TRINITY_DN1033_c0_g1,0
TRINITY_DN10331_c0_g1,0
TRINITY_DN103317_c0_g1,0
TRINITY_DN103318_c0_g1,0
TRINITY_DN10333_c1_g1,-0.00585619309797115
TRINITY_DN103347_c0_g1,0.117493223427991
TRINITY_DN10335_c1_g1,0.969158542483357
TRINITY_DN103357_c0_g1,0.176807031228496
TRINITY_DN103367_c0_g1,-0.233006806050723
TRINITY_DN10337_c0_g1,0
TRINITY_DN10339_c0_g1,0.0598659971105288
TRINITY_DN103402_c0_g1,-0.224525300358567
TRINITY_DN103402_c0_g2,-0.237549120718957
TRINITY_DN10341_c0_g1,0.0283228210221694
TRINITY_DN103416_c0_g1,0.611244545496147
TRINITY_DN103420_c0_g1,0
TRINITY_DN103444_c0_g1,-0.143448620200545
TRINITY_DN103474_c0_g1,-0.378220290372356
TRINITY_DN10350_c0_g1,0
TRINITY_DN10352_c0_g2,1.00062777287282
TRINITY_DN103593_c0_g1,0
TRINITY_DN103598_c0_g1,0
TRINITY_DN103613_c0_g1,-0.816422338499237
TRINITY_DN103621_c0_g1,0
TRINITY_DN103629_c0_g1,0
TRINITY_DN103637_c0_g1,-0.0942681048026847
TRINITY_DN103638_c0_g1,-0.270223134596783
TRINITY_DN10364_c0_g1,-0.0703274877806451
TRINITY_DN103641_c0_g1,-1.77242979569175
TRINITY_DN103644_c0_g1,-0.553144173676708
TRINITY_DN103649_c0_g1,0
TRINITY_DN103659_c0_g1,0.0210427860637087
TRINITY_DN103661_c0_g1,0
TRINITY_DN103668_c0_g1,-0.498534630210741
TRINITY_DN103670_c1_g1,-0.237046295395538
TRINITY_DN103671_c0_g1,-0.34936786503723
TRINITY_DN103673_c0_g1,0.0195230377051793
TRINITY_DN103675_c0_g1,-0.120596476209408
TRINITY_DN103675_c0_g3,0.0217679505255497
TRINITY_DN103679_c0_g2,0
TRINITY_DN103686_c0_g1,0.334151281644546
TRINITY_DN103690_c0_g1,0.0891059499420541
TRINITY_DN103697_c0_g1,0
TRINITY_DN1037_c0_g1,0
TRINITY_DN103709_c0_g1,-0.0470438553253536
TRINITY_DN103713_c0_g1,0.0244742271102781
TRINITY_DN103719_c0_g1,0
TRINITY_DN103726_c0_g1,0.128459432299724
TRINITY_DN103741_c0_g1,0
TRINITY_DN103752_c0_g2,0
TRINITY_DN103752_c0_g3,-0.606363549675614
TRINITY_DN103755_c0_g2,-0.240169746053146
TRINITY_DN10376_c0_g1,0
TRINITY_DN103765_c0_g2,-0.0832951976171582
TRINITY_DN103768_c1_g1,-0.0744982797033657
TRINITY_DN103770_c0_g1,0.0780665678992584
TRINITY_DN103771_c0_g1,-0.877309366359238
TRINITY_DN103773_c0_g1,0
TRINITY_DN103777_c0_g1,0
TRINITY_DN103781_c0_g1,-0.0817042120582394
TRINITY_DN103796_c0_g1,0
TRINITY_DN103800_c0_g1,0
TRINITY_DN103806_c0_g1,-0.838375462753094
TRINITY_DN103817_c0_g1,2.64264642217719
TRINITY_DN103820_c0_g1,-0.0237800803120363
TRINITY_DN103837_c0_g2,-0.617364929043787
TRINITY_DN103843_c0_g1,-0.00866935281545586
TRINITY_DN103849_c0_g1,0
TRINITY_DN103849_c0_g2,-0.790907670612947
TRINITY_DN103853_c0_g1,0
TRINITY_DN103861_c0_g1,-0.194377215681147
TRINITY_DN103871_c0_g1,0
TRINITY_DN103875_c0_g1,-0.00731230234446581
TRINITY_DN103885_c0_g1,-0.289601024063158
TRINITY_DN103887_c0_g1,0.148787215463859
TRINITY_DN103897_c0_g1,0
TRINITY_DN103898_c0_g2,-0.0749643288202763
TRINITY_DN1039_c0_g1,0
TRINITY_DN10391_c0_g1,0
TRINITY_DN103912_c0_g1,-0.357948821369991
TRINITY_DN103919_c0_g1,0.276972771142496
TRINITY_DN103930_c0_g1,0.0351006486728448
TRINITY_DN103940_c0_g1,-0.367369269565799
TRINITY_DN103963_c0_g1,-0.286161094356381
TRINITY_DN103967_c1_g1,0
TRINITY_DN103973_c0_g1,-0.291878676662627
TRINITY_DN103987_c0_g1,-0.349534889281665
TRINITY_DN103987_c0_g2,-0.192444374764061
TRINITY_DN103992_c0_g1,-0.310009374194406
TRINITY_DN104_c9_g1,0.0359553527194218
TRINITY_DN1040_c0_g1,0
TRINITY_DN1040_c0_g2,-0.0548365075005709
TRINITY_DN10400_c0_g1,0
TRINITY_DN10405_c0_g1,0.0801209810192017
TRINITY_DN104056_c0_g1,0
TRINITY_DN104074_c0_g1,-0.0107680666646355
TRINITY_DN10408_c0_g1,0
TRINITY_DN104085_c0_g1,0
TRINITY_DN104090_c0_g1,-0.0569686746107354
TRINITY_DN104097_c1_g1,0.11347957270405
TRINITY_DN1041_c0_g1,0.334075421860102
TRINITY_DN10410_c0_g2,0
TRINITY_DN104100_c0_g2,-0.736348825265154
TRINITY_DN104109_c0_g1,0
TRINITY_DN104114_c0_g1,0
TRINITY_DN104121_c0_g1,-0.310177035261158
TRINITY_DN10413_c0_g2,-0.832349369509052
TRINITY_DN104140_c0_g1,-0.101278967694694
TRINITY_DN104152_c0_g1,0.044163990884036
TRINITY_DN10416_c0_g1,0.759528171166507
TRINITY_DN104199_c0_g1,0.0271728045291585
TRINITY_DN104201_c0_g1,0
TRINITY_DN104208_c0_g1,0.622547072813364
TRINITY_DN104208_c0_g2,1.63479284864839
TRINITY_DN104209_c0_g1,0.272991947233618
TRINITY_DN104210_c1_g2,0
TRINITY_DN104222_c0_g1,0.114892101506572
TRINITY_DN104272_c0_g1,-0.0749547172702017
TRINITY_DN104273_c0_g1,0.18022228639959
TRINITY_DN104274_c0_g1,0.0425143257399089
TRINITY_DN104278_c0_g1,0
TRINITY_DN104286_c1_g2,-0.242859705787784
TRINITY_DN104286_c1_g3,0
TRINITY_DN104294_c0_g1,0.308794194902464
TRINITY_DN104308_c0_g1,-0.0380247562096374
TRINITY_DN104310_c0_g1,0.0415492868945007
TRINITY_DN104314_c0_g1,-0.276701360878842
TRINITY_DN104324_c0_g2,0
TRINITY_DN104337_c0_g1,-0.612210660644289
TRINITY_DN104338_c0_g2,-0.309019367742847
TRINITY_DN104351_c0_g1,0.358095753069533
TRINITY_DN104368_c0_g2,0.837623364080379
TRINITY_DN10439_c0_g1,0
TRINITY_DN1044_c0_g1,0.854652924369224
TRINITY_DN104408_c0_g1,0.27798011635197
TRINITY_DN104408_c0_g2,0
TRINITY_DN10443_c0_g1,-1.19229233546028
TRINITY_DN104431_c0_g1,0
TRINITY_DN10445_c0_g1,0.227631542613532
TRINITY_DN104457_c0_g1,0
TRINITY_DN104457_c1_g1,-0.094992891875195
TRINITY_DN104469_c0_g1,-1.06096739569161
TRINITY_DN104493_c0_g1,-0.164175273057911
TRINITY_DN104537_c0_g2,0
TRINITY_DN104541_c0_g1,0
TRINITY_DN10456_c0_g1,0.196957106577763
TRINITY_DN104560_c0_g1,0
TRINITY_DN10457_c0_g1,0.652469518283144
TRINITY_DN104571_c0_g1,1.04595321574568
TRINITY_DN10458_c0_g1,0
TRINITY_DN104588_c0_g1,-0.030691728411658
TRINITY_DN10462_c0_g1,0
