gene,logp
TRINITY_DN1000_c0_g1,-0.543892007135939
TRINITY_DN10000_c0_g1,0.427509947042887
TRINITY_DN10001_c0_g1,0
TRINITY_DN100017_c0_g1,0.133946507037334
TRINITY_DN100019_c0_g1,-0.180388329510205
TRINITY_DN100024_c0_g1,-0.115294633307529
TRINITY_DN100059_c0_g1,0.771240491460348
TRINITY_DN100076_c0_g1,0.337719154403259
TRINITY_DN100078_c0_g1,0.0202115664770425
TRINITY_DN100092_c0_g1,-0.130837713614255
TRINITY_DN1001_c0_g1,-0.0229669945538059
TRINITY_DN10010_c0_g1,-0.105944767410105
TRINITY_DN100108_c0_g1,0.314815217007186
TRINITY_DN10011_c0_g1,0
TRINITY_DN100123_c0_g1,0.113635536114996
TRINITY_DN100128_c0_g1,0.389284313839352
TRINITY_DN100129_c0_g1,-0.0592173668796625
TRINITY_DN10013_c1_g1,0
TRINITY_DN100143_c0_g1,1.57678814499631
TRINITY_DN100155_c2_g1,0
TRINITY_DN100155_c3_g1,-0.0169030669417304
TRINITY_DN10021_c0_g1,0
TRINITY_DN100223_c0_g1,0.380674884685913
TRINITY_DN10023_c0_g1,-0.0296247320434559
TRINITY_DN100317_c0_g1,0.817398087826775
TRINITY_DN100324_c0_g2,-0.0366241390705279
TRINITY_DN100348_c0_g1,-0.0781890784108613
TRINITY_DN10036_c0_g1,0.103318574880345
TRINITY_DN100360_c0_g1,-0.0283014740344812
TRINITY_DN10037_c0_g1,-0.220816270032082
TRINITY_DN1004_c0_g1,0
TRINITY_DN1004_c0_g2,0
TRINITY_DN1004_c0_g3,0.246703330798246
TRINITY_DN10041_c0_g1,0.277522322876616
TRINITY_DN100419_c0_g3,-0.128309005276631
TRINITY_DN10044_c0_g1,0
TRINITY_DN10045_c0_g1,0
TRINITY_DN100465_c0_g1,0
TRINITY_DN100478_c0_g3,-0.463806548034502
TRINITY_DN100507_c0_g1,0.660794352339069
TRINITY_DN100518_c0_g1,0
TRINITY_DN10052_c0_g1,0.328320665549692
TRINITY_DN100521_c0_g1,0.263377187628654
TRINITY_DN10055_c0_g1,-0.00517869552885528
TRINITY_DN100556_c0_g1,-0.568014760412435
TRINITY_DN1006_c2_g1,-0.175265118391125
TRINITY_DN100607_c0_g1,0.0743484750055419
TRINITY_DN100617_c0_g1,0.0342037571200583
TRINITY_DN100627_c0_g1,0
TRINITY_DN100627_c1_g1,0.0362670494518695
TRINITY_DN10065_c0_g4,-0.437358528606984
TRINITY_DN100650_c0_g1,0.195134772258459
TRINITY_DN100661_c0_g1,0.311650938216071
TRINITY_DN100700_c0_g2,-0.0605076245521857
