gene,logp
TRINITY_DN1000_c0_g1,0.487028809074373
TRINITY_DN10000_c0_g1,0
TRINITY_DN10001_c0_g1,0
TRINITY_DN100017_c0_g1,-0.631405007933836
TRINITY_DN100019_c0_g1,2.06365502367851
TRINITY_DN100024_c0_g1,-0.0731744321886395
TRINITY_DN100059_c0_g1,0.041012174651545
TRINITY_DN100076_c0_g1,0.014246437416523
TRINITY_DN100078_c0_g1,-0.152511960362525
TRINITY_DN100092_c0_g1,-0.43093542667384
TRINITY_DN1001_c0_g1,0
TRINITY_DN10010_c0_g1,0.1951232242135
TRINITY_DN100108_c0_g1,0.0331416826233451
TRINITY_DN10011_c0_g1,0
TRINITY_DN100123_c0_g1,-0.0497001289949395
TRINITY_DN100128_c0_g1,-0.222703172381617
TRINITY_DN100129_c0_g1,0
TRINITY_DN10013_c1_g1,0
TRINITY_DN100143_c0_g1,-0.00937239460781547
TRINITY_DN100155_c2_g1,0
TRINITY_DN100155_c3_g1,-0.31796551358456
TRINITY_DN10021_c0_g1,-0.108562848253024
TRINITY_DN100223_c0_g1,-0.107955022443487
TRINITY_DN10023_c0_g1,0
TRINITY_DN100317_c0_g1,-0.778432303356016
TRINITY_DN100324_c0_g2,-0.692631854734595
TRINITY_DN100348_c0_g1,0
TRINITY_DN10036_c0_g1,-0.198127344618631
TRINITY_DN100360_c0_g1,0.0586347666371001
TRINITY_DN10037_c0_g1,-0.365969951325062
TRINITY_DN1004_c0_g1,0
TRINITY_DN1004_c0_g2,-0.240206843542184
TRINITY_DN1004_c0_g3,-0.261982851140612
TRINITY_DN10041_c0_g1,-0.0088398215459153
TRINITY_DN100419_c0_g3,0.0394663583975774
TRINITY_DN10044_c0_g1,0.316952112872472
TRINITY_DN10045_c0_g1,0.00529324697108117
TRINITY_DN100465_c0_g1,-0.376949856870372
TRINITY_DN100478_c0_g3,-0.78335038099057
TRINITY_DN100507_c0_g1,0.116451007478584
TRINITY_DN100518_c0_g1,-0.13037386060884
TRINITY_DN10052_c0_g1,-0.406356532230864
TRINITY_DN100521_c0_g1,-1.26284292903488
TRINITY_DN10055_c0_g1,0.107008564550286
TRINITY_DN100556_c0_g1,0
TRINITY_DN1006_c2_g1,0.316626509249381
TRINITY_DN100607_c0_g1,0.0160725144846532
TRINITY_DN100617_c0_g1,-0.876808234599722
TRINITY_DN100627_c0_g1,0
TRINITY_DN100627_c1_g1,2.5121247293068
TRINITY_DN10065_c0_g4,0.112493162717619
TRINITY_DN100650_c0_g1,0
TRINITY_DN100661_c0_g1,-0.972776098892699
TRINITY_DN100700_c0_g2,-0.393611351549224
TRINITY_DN10072_c1_g1,-0.259481248525463
TRINITY_DN10072_c1_g2,0.328403041595906
TRINITY_DN100732_c0_g1,0
